fid,objectid,area,perimeter,air_020107,air_20108,r_code,ind_name,aiana,aiana_desc,ind_source,ind_scale,entity,org_code,fed_regist,region_cod,region_nam,agency_nam,self_gover,osgt_code,osgt_assoc,native_cor,mail_name,state,cnty_st,tot_area,tribe_area,allot_area,fed_area,labor_tot,hsgrad_pct,colgrad_pc,unemploy_p,inc_percap,pop_tot,tribal_num,treaty,tribal_est,gov_type,econ_sourc,gaming,med_fac,sq_miles,acres,agency_cod,poi_on_ima,field_veri,shape_leng,shape_le_1,shape_le_2,irmp_plan,short_name,shape_le_3,shape_area
0,0,9797.56926,395.939726,9755,1378,T820,Absentee-Shawnee Tribe of Indians of Oklahoma,FRTE,Federally Recognized Tribal Entity,GDSC,"1:24,000",Absentee-Shawnee Tribe of Indians of Oklahoma,B08820,true,SPL,Southern Plains,,false,,,,Absentee Shawnee Tribe of Oklahoma,OK,"Pottawatomie & Cleveland, OK",0,0,0,0,0,0,0,0,0,0,0,,,,,true,,1106.430697,2.420927,B08,,,395.9398,0,0,,,395.9398,9797.572968
1,0,47614859.8632,232898.716483,9594,1544,R820,Absentee-Shawnee Tribe Trust Land,TRUST,Trust land for which no reservation exists,LTM,"1:24,000",Absentee-Shawnee Tribe of Indians of Oklahoma,B08820,true,SPL,Southern Plains,Shawnee Field Office,true,OSGT820,,,Absentee Shawnee Tribe of Oklahoma,OK,"Pottawatomie & Cleveland, OK",12002,402,11461,140,2604,64.4,6.1,8.9,7595,91012,0,,"1936 Oklahoma Indian Welfare Act, constitution ratified December 5, 1938, amended August 13, 1988","Legislative/executive, judicial branches","Government as employer, farming, livestock, gas & oil contracts, small businesses",true,Tribal clinic located within the tribal complex near Shawnee,18.384122,11765.629342,B08,,,232898.716603,0,0,,,232898.716605,47614859.906
2,0,1020220180.04,251823.855945,9035,2104,R703,Acoma Pueblo,AIR,American Indian Reservation,TIGER95,"1:100,000","Pueblo of Acoma, New Mexico",M20703,true,SWT,Southwest,Southern Pueblos Agency,false,,,,Pueblo of Acoma,NM,"Cibola, NM",378114,377794,0,364809,898,64.6,5.8,38.57,4049,6091,5902,"Patent issued on November 19, 1877","IRA of 1934, no constitution or charter",12 member Tribal Council,"Ranching, farming, forestry, government as employer, retail/service businesses, tourism",true,Acoma-Canoncito-Laguna Health Facility,393.907619,252096.403814,M20,,,251823.855918,0,0,,,251823.855918,1020220179.99
3,0,463204771.372,147458.736295,9858,1275,R703,Acoma Pueblo - Red Lake Purchase,AIR,American Indian Reservation,GDSC,"1:24,000","Pueblo of Acoma, New Mexico",M20703,true,SWT,Southwest,Southern Pueblos Agency,false,,,,Pueblo of Acoma,NM,"Cibola, NM",378114,377794,0,364809,898,64.6,5.8,38.57,4049,6091,5902,"Patent issued on November 19, 1877","IRA of 1934, no constitution or charter",12 member Tribal Council,"Ranching, farming, forestry, government as employer, retail/service businesses, tourism",true,Acoma-Canoncito-Laguna Health Facility,178.843645,114457.902107,M20,,,147458.736134,0,0,,,147458.736134,463204771.631
4,0,1517200.60833,4406.634868,201,11002,Z002,Afognak,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Afognak (formerly the Village of Afognak),E01002,true,ALA,Alaska,Anchorage Field Office,false,,,,Native Village of Afognak,AK,Kodiak Island Borough,92223,0,0,0,0,0,0,0,0,0,0,Alaska Native Claims Settlement Act (1971),,,,false,,4.67018,374.900109,E01,,,4406.634913,0,0,,,4406.634913,1517200.63435
5,0,128394629.306,304885.415926,9107,2032,R584,Agua Caliente Reservation,AIR,American Indian Reservation,CENSUS2000,"1:500,000","Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",J53584,true,PAC,Pacific,Palm Springs Field Office,false,,,,Agua Caliente Band Of Cahuilla Indians,CA,Riverside CA,31610,0,0,0,80,90.3,15.3,5,10786,0,296,Executive Order 1876,Constitution adopted 1957,Tribal council headed by a chairperson,Tourism; land leasing,true,Medical facilities available in Palm Springs,49.573244,31726.313067,J53,,,304885.415614,0,0,,,304885.415614,128394629.317
6,0,1532198.37901,4411.212605,207,10996,Z004,Akhiok,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Akhiok,E01004,true,ALA,Alaska,Anchorage Field Office,false,,,"Koniag, Inc.",Akhiok-Kaguyak Inc.,AK,Kodiak Island Borough AK,73580,0,0,0,32,48.7,0,18.8,14793,77,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1972),Traditional tribal council,Fishing; hunting; government,false,clinic,7.342247,378.606064,E01,,,4411.212572,0,0,,,4411.212572,1532198.3525
7,0,1534016.57017,4443.956775,95,11108,Z005,Akiachak,ANV,Alaska Native Village,TIGER95,"1:100,000",Akiachak Native Community,E02005,true,ALA,Alaska,Bethel Field Office,false,,,Calista Corporation,"Akiachak, Limited",AK,unorganized borough AK,115200,0,0,0,160,44.2,0,12.7,6201,481,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1974); Dissolved (1987),Indian Reorganization Act tribal council,Construction; fishing; education; public services,false,clinic,15.116486,379.055299,E02,,,4443.956777,0,0,,,4443.956777,1534016.57273
8,0,1535333.72295,4445.593454,100,11103,Z006,Akiak,ANV,Alaska Native Village,TIGER95,"1:100,000",Akiak Native Community,E02006,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,Kokarmiut Corporation,AK,unorganized borough AK,115200,0,0,0,76,52.6,1.7,16,4012,285,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1970),Indian Reorganization Act tribal council,Fishing; education; public service,false,clinic,2.902294,379.381259,E02,,,4445.593459,0,0,,,4445.593459,1535333.70561
9,0,1532418.42588,4400.838578,155,11048,Z007,Akutan,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Akutan,E01007,true,ALA,Alaska,Anchorage Field Office,true,OSGT811,"Aleutian/Pribilof Islands Assoc., Inc.",Aleut Corporation,Akutan Corporation,AK,Aleutians East Borough AK,102917,0,0,0,529,43.2,0,0.4,7820,589,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1979),Traditional tribal council,Fishing; fish processing; government,false,clinic,13.549802,378.660823,E01,,,4400.838549,0,0,,,4400.838549,1532418.40677
